[2026-03-09 02:42:32] 删除文件: generate_synthetic.log
[2026-03-09 02:42:32] 清理完成，已删除 79 个合成数据目录。可重新运行: python generate_synthetic_500.py
[2026-03-09 02:42:49] ======== 开始生成 500 条合成数据 ========
[2026-03-09 02:42:49] 生成 500 条合成数据（单线程顺序）
[2026-03-09 02:42:49] 目标行数分布: min=6 max=134 前20个=[13, 16, 13, 23, 20, 35, 10, 12, 14, 16, 15, 16, 7, 35, 26, 32, 10, 50, 44, 60]
[2026-03-09 02:42:49] API Key 已配置，开始顺序生成...
[2026-03-09 02:43:07]   [(1/500)] meaningful_000 OK (lines=23)
[2026-03-09 03:52:00]   [(118/500)] meaningful_117 OK (lines=33)
[2026-03-09 03:52:19]   [(119/500)] meaningful_118 OK (lines=34)
[2026-03-09 03:52:30]     [mermaid.ink 400] attempt 1
[2026-03-09 03:52:35]     [mermaid.ink 400] attempt 2
[2026-03-09 03:52:41]     [mermaid.ink 400] attempt 3
[2026-03-09 03:52:45]   [(120/500)] meaningful_119 PNG 渲染失败
[2026-03-09 03:53:10]   [(120/500)] meaningful_119 OK (lines=56)
[2026-03-09 03:53:31]   [(121/500)] meaningful_120 OK (lines=60)
[2026-03-09 03:53:39]     [mermaid.ink 400] attempt 1
[2026-03-09 03:53:45]     [mermaid.ink 400] attempt 2
[2026-03-09 03:53:50]     [mermaid.ink 400] attempt 3
[2026-03-09 03:53:54]   [(122/500)] meaningful_121 PNG 渲染失败
[2026-03-09 03:54:06]     [mermaid.ink 400] attempt 1
[2026-03-09 03:54:12]     [mermaid.ink 400] attempt 2
[2026-03-09 03:54:18]     [mermaid.ink 400] attempt 3
[2026-03-09 03:54:22]   [(122/500)] meaningful_121 PNG 渲染失败
[2026-03-09 03:54:48]   [(122/500)] meaningful_121 OK (lines=53)
[2026-03-09 03:55:10]   [(123/500)] meaningful_122 OK (lines=46)
[2026-03-09 03:55:25]   [(124/500)] meaningful_123 OK (lines=16)
[2026-03-09 03:55:51]   [(125/500)] meaningful_124 OK (lines=46)
[2026-03-09 03:55:59]     [mermaid.ink 400] attempt 1
[2026-03-09 03:56:04]     [mermaid.ink 400] attempt 2
[2026-03-09 03:56:10]     [mermaid.ink 400] attempt 3
[2026-03-09 03:56:14]   [(126/500)] meaningful_125 PNG 渲染失败
[2026-03-09 03:56:26]     [mermaid.ink 400] attempt 1
[2026-03-09 03:56:32]     [mermaid.ink 400] attempt 2
[2026-03-09 03:56:37]     [mermaid.ink 400] attempt 3
[2026-03-09 03:56:41]   [(126/500)] meaningful_125 PNG 渲染失败
[2026-03-09 03:57:03]   [(126/500)] meaningful_125 OK (lines=40)
[2026-03-09 03:57:23]   [(127/500)] meaningful_126 OK (lines=29)
[2026-03-09 03:57:33]     [mermaid.ink 400] attempt 1
[2026-03-09 03:57:38]     [mermaid.ink 400] attempt 2
[2026-03-09 03:57:44]     [mermaid.ink 400] attempt 3
[2026-03-09 03:57:48]   [(128/500)] meaningful_127 PNG 渲染失败
[2026-03-09 03:58:00]     [mermaid.ink 400] attempt 1
[2026-03-09 03:58:06]     [mermaid.ink 400] attempt 2
[2026-03-09 03:58:11]     [mermaid.ink 400] attempt 3
[2026-03-09 03:58:15]   [(128/500)] meaningful_127 PNG 渲染失败
[2026-03-09 03:58:40]   [(128/500)] meaningful_127 OK (lines=45)
[2026-03-09 03:59:05]   [(129/500)] meaningful_128 OK (lines=54)
[2026-03-09 03:59:18]     [mermaid.ink 503] attempt 1
[2026-03-09 03:59:53]     [mermaid.ink 异常] HTTPSConnectionPool(host='mermaid.ink', port=443): Max retries exceeded with url: /img/Z3JhcGggVEQKICAgIHN1YmdyYXBoIOeUqOaIt-ihjOS4uuinpuWPkQogICAgICAgIEFb55So5oi36KGM5Li65Y-R55SfOiDmtY_op4jllYblk4Ev54K55Ye75bm_5ZGK562JXSAtLT4gQnvmmK_lkKbmu6HotrPmtLvliqjop6blj5HmnaHku7Y_fQogICAgZW5kCgogICAgQiAtLSDmmK8gLS0-IENb5qOA5p-l55So5oi35piv5ZCm5bey5Y-C5LiO5rS75YqoXQogICAgQiAtLSDlkKYgLS0-IERb57uT5p2f5rWB56iLXQoKICAgIEMgLS0g5pivIC0tPiBFe-aYr-WQpuWFgeiuuOmHjeWkjeWPguS4jj99CiAgICBDIC0tIOWQpiAtLT4gRAoKICAgIEUgLS0g5pivIC0tPiBGW-W6lOeUqOa0u-WKqOinhOWImTog6K6h566X5oqY5omjL-i1oOWTgV0KICAgIEUgLS0g5ZCmIC0tPiBECgogICAgRiAtLT4gR1vnlJ_miJDmtLvliqjmnYPnm4pdCiAgICBHIC0tPiBIW-iusOW9lea0u-WKqOWPguS4juaXpeW_l10KICAgIEggLS0-IElb5a6M5oiQ5rWB56iLXQoKICAgIGNsYXNzRGVmIGhpZ2hsaWdodCBmaWxsOiNmOWYsc3Ryb2tlOiMzMzMsc3Ryb2tlLXdpZHRoOjJweAogICAgY2xhc3MgQSxCLEMsRSBoaWdobGlnaHQ=?type=png (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))
[2026-03-09 04:00:11]   [(130/500)] meaningful_129 OK (lines=20)
[2026-03-09 04:00:27]   [(131/500)] meaningful_130 OK (lines=11)
[2026-03-09 04:00:46]   [(132/500)] meaningful_131 OK (lines=28)
[2026-03-09 04:01:12]   [(133/500)] meaningful_132 OK (lines=58)
[2026-03-09 04:01:19]     [mermaid.ink 400] attempt 1
[2026-03-09 04:01:25]     [mermaid.ink 400] attempt 2
[2026-03-09 04:01:31]     [mermaid.ink 400] attempt 3
[2026-03-09 04:01:35]   [(134/500)] meaningful_133 PNG 渲染失败
[2026-03-09 04:01:45]     [mermaid.ink 400] attempt 1
[2026-03-09 04:01:51]     [mermaid.ink 400] attempt 2
[2026-03-09 04:01:57]     [mermaid.ink 400] attempt 3
[2026-03-09 04:02:01]   [(134/500)] meaningful_133 PNG 渲染失败
[2026-03-09 04:02:11]     [mermaid.ink 400] attempt 1
[2026-03-09 04:02:17]     [mermaid.ink 400] attempt 2
[2026-03-09 04:02:23]     [mermaid.ink 400] attempt 3
[2026-03-09 04:02:27]   [(134/500)] meaningful_133 PNG 渲染失败
[2026-03-09 04:02:36]     [mermaid.ink 400] attempt 1
[2026-03-09 04:02:42]     [mermaid.ink 400] attempt 2
[2026-03-09 04:02:48]     [mermaid.ink 400] attempt 3
[2026-03-09 04:02:52]   [(134/500)] meaningful_133 PNG 渲染失败
[2026-03-09 04:03:13]   [(134/500)] meaningful_133 OK (lines=17)
[2026-03-09 04:03:38]   [(135/500)] meaningful_134 OK (lines=51)
[2026-03-09 04:03:58]   [(136/500)] meaningful_135 OK (lines=36)
[2026-03-09 04:04:06]     [mermaid.ink 400] attempt 1
[2026-03-09 04:04:12]     [mermaid.ink 400] attempt 2
[2026-03-09 04:04:18]     [mermaid.ink 400] attempt 3
[2026-03-09 04:04:22]   [(137/500)] meaningful_136 PNG 渲染失败
[2026-03-09 04:04:44]   [(137/500)] meaningful_136 OK (lines=33)
[2026-03-09 04:04:58]   [(138/500)] meaningful_137 OK (lines=11)
[2026-03-09 04:05:22]   [(139/500)] meaningful_138 OK (lines=23)
[2026-03-09 04:05:38]   [(140/500)] meaningful_139 OK (lines=24)
[2026-03-09 04:05:54]   [(141/500)] meaningful_140 OK (lines=21)
[2026-03-09 04:06:15]   [(142/500)] meaningful_141 OK (lines=57)
[2026-03-09 04:06:25]     [mermaid.ink 400] attempt 1
[2026-03-09 04:06:30]     [mermaid.ink 400] attempt 2
[2026-03-09 04:06:36]     [mermaid.ink 400] attempt 3
[2026-03-09 04:06:40]   [(143/500)] meaningful_142 PNG 渲染失败
[2026-03-09 04:07:13]   [(143/500)] meaningful_142 OK (lines=76)
[2026-03-09 04:07:29]   [(144/500)] meaningful_143 OK (lines=15)
[2026-03-09 04:07:38]     [mermaid.ink 400] attempt 1
[2026-03-09 04:07:44]     [mermaid.ink 400] attempt 2
[2026-03-09 04:07:49]     [mermaid.ink 400] attempt 3
[2026-03-09 04:07:53]   [(145/500)] meaningful_144 PNG 渲染失败
[2026-03-09 04:08:19]   [(145/500)] meaningful_144 OK (lines=40)
[2026-03-09 04:08:27]     [mermaid.ink 400] attempt 1
[2026-03-09 04:08:33]     [mermaid.ink 400] attempt 2
[2026-03-09 04:08:38]     [mermaid.ink 400] attempt 3
[2026-03-09 04:08:42]   [(146/500)] meaningful_145 PNG 渲染失败
[2026-03-09 04:09:04]   [(146/500)] meaningful_145 OK (lines=28)
[2026-03-09 04:11:26]   [(147/500)] meaningful_146 description 生成失败
[2026-03-09 04:11:59]   [(147/500)] meaningful_146 OK (lines=27)
[2026-03-09 04:12:08]     [mermaid.ink 400] attempt 1
[2026-03-09 04:12:14]     [mermaid.ink 400] attempt 2
[2026-03-09 04:12:19]     [mermaid.ink 400] attempt 3
[2026-03-09 04:12:23]   [(148/500)] meaningful_147 PNG 渲染失败
[2026-03-09 04:12:35]     [mermaid.ink 400] attempt 1
[2026-03-09 04:12:41]     [mermaid.ink 400] attempt 2
[2026-03-09 04:12:46]     [mermaid.ink 400] attempt 3
[2026-03-09 04:12:50]   [(148/500)] meaningful_147 PNG 渲染失败
[2026-03-09 04:13:03]     [mermaid.ink 400] attempt 1
[2026-03-09 04:13:08]     [mermaid.ink 400] attempt 2
[2026-03-09 04:13:14]     [mermaid.ink 400] attempt 3
[2026-03-09 04:13:18]   [(148/500)] meaningful_147 PNG 渲染失败
[2026-03-09 04:13:46]   [(148/500)] meaningful_147 OK (lines=48)
[2026-03-09 04:14:04]   [(149/500)] meaningful_148 OK (lines=25)
[2026-03-09 04:14:12]     [mermaid.ink 400] attempt 1
[2026-03-09 04:14:17]     [mermaid.ink 400] attempt 2
[2026-03-09 04:14:23]     [mermaid.ink 400] attempt 3
[2026-03-09 04:14:27]   [(150/500)] meaningful_149 PNG 渲染失败
[2026-03-09 04:14:39]     [mermaid.ink 400] attempt 1
[2026-03-09 04:14:45]     [mermaid.ink 400] attempt 2
[2026-03-09 04:14:51]     [mermaid.ink 400] attempt 3
[2026-03-09 04:14:55]   [(150/500)] meaningful_149 PNG 渲染失败
[2026-03-09 04:15:08]     [mermaid.ink 400] attempt 1
[2026-03-09 04:15:13]     [mermaid.ink 400] attempt 2
[2026-03-09 04:15:19]     [mermaid.ink 400] attempt 3
[2026-03-09 04:15:23]   [(150/500)] meaningful_149 PNG 渲染失败
[2026-03-09 04:15:39]     [mermaid.ink 503] attempt 1
[2026-03-09 04:16:00]   [(150/500)] meaningful_149 OK (lines=39)
[2026-03-09 04:16:21]   [(151/500)] meaningful_150 OK (lines=27)
[2026-03-09 04:16:43]   [(152/500)] meaningful_151 OK (lines=41)
[2026-03-09 04:17:02]   [(153/500)] meaningful_152 OK (lines=30)
[2026-03-09 04:17:12]     [mermaid.ink 400] attempt 1
[2026-03-09 04:17:18]     [mermaid.ink 400] attempt 2
[2026-03-09 04:17:23]     [mermaid.ink 400] attempt 3
[2026-03-09 04:17:27]   [(154/500)] meaningful_153 PNG 渲染失败
[2026-03-09 04:17:39]     [mermaid.ink 400] attempt 1
[2026-03-09 04:17:45]     [mermaid.ink 400] attempt 2
[2026-03-09 04:17:51]     [mermaid.ink 400] attempt 3
[2026-03-09 04:17:55]   [(154/500)] meaningful_153 PNG 渲染失败
[2026-03-09 04:18:26]   [(154/500)] meaningful_153 OK (lines=75)
[2026-03-09 04:18:43]   [(155/500)] meaningful_154 OK (lines=25)
[2026-03-09 04:18:49]     [mermaid.ink 400] attempt 1
[2026-03-09 04:18:55]     [mermaid.ink 400] attempt 2
[2026-03-09 04:19:01]     [mermaid.ink 400] attempt 3
[2026-03-09 04:19:05]   [(156/500)] meaningful_155 PNG 渲染失败
[2026-03-09 04:19:27]   [(156/500)] meaningful_155 OK (lines=14)
[2026-03-09 04:19:45]   [(157/500)] meaningful_156 OK (lines=10)
[2026-03-09 04:20:09]   [(158/500)] meaningful_157 OK (lines=28)
[2026-03-09 04:20:28]   [(159/500)] meaningful_158 OK (lines=34)
[2026-03-09 04:20:37]     [mermaid.ink 400] attempt 1
[2026-03-09 04:20:42]     [mermaid.ink 400] attempt 2
[2026-03-09 04:20:48]     [mermaid.ink 400] attempt 3
[2026-03-09 04:20:52]   [(160/500)] meaningful_159 PNG 渲染失败
[2026-03-09 04:21:21]   [(160/500)] meaningful_159 OK (lines=36)
[2026-03-09 04:21:37]   [(161/500)] meaningful_160 OK (lines=16)
[2026-03-09 04:21:58]   [(162/500)] meaningful_161 OK (lines=32)
[2026-03-09 04:22:21]   [(163/500)] meaningful_162 OK (lines=33)
[2026-03-09 04:22:38]   [(164/500)] meaningful_163 OK (lines=27)
[2026-03-09 04:22:57]   [(165/500)] meaningful_164 OK (lines=20)
[2026-03-09 04:23:18]   [(166/500)] meaningful_165 OK (lines=38)
[2026-03-09 04:23:37]   [(167/500)] meaningful_166 OK (lines=31)
[2026-03-09 04:23:51]   [(168/500)] meaningful_167 OK (lines=18)
[2026-03-09 04:24:11]   [(169/500)] meaningful_168 OK (lines=29)
[2026-03-09 04:24:28]   [(170/500)] meaningful_169 OK (lines=16)
[2026-03-09 04:24:51]   [(171/500)] meaningful_170 OK (lines=33)
[2026-03-09 04:25:12]   [(172/500)] meaningful_171 OK (lines=34)
[2026-03-09 04:25:28]   [(173/500)] meaningful_172 OK (lines=14)
[2026-03-09 04:25:44]   [(174/500)] meaningful_173 OK (lines=11)
[2026-03-09 04:26:00]   [(175/500)] meaningful_174 OK (lines=14)
[2026-03-09 04:26:26]   [(176/500)] meaningful_175 OK (lines=50)
[2026-03-09 04:26:45]   [(177/500)] meaningful_176 OK (lines=18)
[2026-03-09 04:27:04]   [(178/500)] meaningful_177 OK (lines=41)
[2026-03-09 04:27:22]   [(179/500)] meaningful_178 OK (lines=20)
[2026-03-09 04:27:43]   [(180/500)] meaningful_179 OK (lines=39)
[2026-03-09 04:28:04]   [(181/500)] meaningful_180 OK (lines=28)
[2026-03-09 04:28:25]   [(182/500)] meaningful_181 OK (lines=35)
[2026-03-09 04:28:48]   [(183/500)] meaningful_182 OK (lines=38)
[2026-03-09 04:29:09]   [(184/500)] meaningful_183 OK (lines=37)
[2026-03-09 04:29:30]   [(185/500)] meaningful_184 OK (lines=29)
[2026-03-09 04:29:51]   [(186/500)] meaningful_185 OK (lines=33)
[2026-03-09 04:30:10]   [(187/500)] meaningful_186 OK (lines=26)
[2026-03-09 04:30:19]     [mermaid.ink 400] attempt 1
[2026-03-09 04:30:25]     [mermaid.ink 400] attempt 2
[2026-03-09 04:30:31]     [mermaid.ink 400] attempt 3
[2026-03-09 04:30:35]   [(188/500)] meaningful_187 PNG 渲染失败
[2026-03-09 04:31:05]   [(188/500)] meaningful_187 OK (lines=56)
[2026-03-09 04:31:29]   [(189/500)] meaningful_188 OK (lines=52)
[2026-03-09 04:31:51]   [(190/500)] meaningful_189 OK (lines=63)
[2026-03-09 04:31:59]     [mermaid.ink 400] attempt 1
[2026-03-09 04:32:05]     [mermaid.ink 400] attempt 2
[2026-03-09 04:32:10]     [mermaid.ink 400] attempt 3
[2026-03-09 04:32:14]   [(191/500)] meaningful_190 PNG 渲染失败
[2026-03-09 04:32:25]     [mermaid.ink 400] attempt 1
[2026-03-09 04:32:30]     [mermaid.ink 400] attempt 2
[2026-03-09 04:32:36]     [mermaid.ink 400] attempt 3
[2026-03-09 04:32:40]   [(191/500)] meaningful_190 PNG 渲染失败
[2026-03-09 04:32:51]     [mermaid.ink 400] attempt 1
[2026-03-09 04:32:57]     [mermaid.ink 400] attempt 2
[2026-03-09 04:33:03]     [mermaid.ink 400] attempt 3
[2026-03-09 04:33:07]   [(191/500)] meaningful_190 PNG 渲染失败
[2026-03-09 04:33:17]     [mermaid.ink 400] attempt 1
[2026-03-09 04:33:23]     [mermaid.ink 400] attempt 2
[2026-03-09 04:33:29]     [mermaid.ink 400] attempt 3
[2026-03-09 04:33:33]   [(191/500)] meaningful_190 PNG 渲染失败
[2026-03-09 04:33:55]   [(191/500)] meaningful_190 OK (lines=26)
[2026-03-09 04:34:17]   [(192/500)] meaningful_191 OK (lines=34)
[2026-03-09 04:34:42]   [(193/500)] meaningful_192 OK (lines=58)
[2026-03-09 04:34:52]     [mermaid.ink 400] attempt 1
[2026-03-09 04:34:57]     [mermaid.ink 400] attempt 2
[2026-03-09 04:35:03]     [mermaid.ink 400] attempt 3
[2026-03-09 04:35:07]   [(194/500)] meaningful_193 PNG 渲染失败
[2026-03-09 04:35:20]     [mermaid.ink 400] attempt 1
[2026-03-09 04:35:25]     [mermaid.ink 400] attempt 2
[2026-03-09 04:35:31]     [mermaid.ink 400] attempt 3
[2026-03-09 04:35:35]   [(194/500)] meaningful_193 PNG 渲染失败
[2026-03-09 04:35:48]     [mermaid.ink 400] attempt 1
[2026-03-09 04:35:53]     [mermaid.ink 400] attempt 2
[2026-03-09 04:35:59]     [mermaid.ink 400] attempt 3
[2026-03-09 04:36:03]   [(194/500)] meaningful_193 PNG 渲染失败
[2026-03-09 04:36:17]     [mermaid.ink 400] attempt 1
[2026-03-09 04:36:23]     [mermaid.ink 400] attempt 2
[2026-03-09 04:36:29]     [mermaid.ink 400] attempt 3
[2026-03-09 04:36:33]   [(194/500)] meaningful_193 PNG 渲染失败
[2026-03-09 04:36:46]     [mermaid.ink 400] attempt 1
[2026-03-09 04:36:51]     [mermaid.ink 400] attempt 2
[2026-03-09 04:36:57]     [mermaid.ink 400] attempt 3
[2026-03-09 04:37:01]   [(194/500)] meaningful_193 PNG 渲染失败
[2026-03-09 04:37:05]   [(194/500)] meaningful_193 失败，已跳过
[2026-03-09 04:37:30]   [(195/500)] meaningful_194 OK (lines=83)
[2026-03-09 04:37:47]   [(196/500)] meaningful_195 OK (lines=43)
[2026-03-09 04:37:56]     [mermaid.ink 400] attempt 1
[2026-03-09 04:38:02]     [mermaid.ink 400] attempt 2
[2026-03-09 04:38:07]     [mermaid.ink 400] attempt 3
[2026-03-09 04:38:11]   [(197/500)] meaningful_196 PNG 渲染失败
[2026-03-09 04:38:24]     [mermaid.ink 400] attempt 1
[2026-03-09 04:38:29]     [mermaid.ink 400] attempt 2
[2026-03-09 04:38:35]     [mermaid.ink 400] attempt 3
[2026-03-09 04:38:39]   [(197/500)] meaningful_196 PNG 渲染失败
[2026-03-09 04:39:04]   [(197/500)] meaningful_196 OK (lines=52)
[2026-03-09 04:39:12]     [mermaid.ink 400] attempt 1
[2026-03-09 04:39:18]     [mermaid.ink 400] attempt 2
[2026-03-09 04:39:24]     [mermaid.ink 400] attempt 3
[2026-03-09 04:39:28]   [(198/500)] meaningful_197 PNG 渲染失败
[2026-03-09 04:39:55]   [(198/500)] meaningful_197 OK (lines=50)
[2026-03-09 04:40:12]   [(199/500)] meaningful_198 OK (lines=22)
[2026-03-09 04:40:19]     [mermaid.ink 400] attempt 1
[2026-03-09 04:40:25]     [mermaid.ink 400] attempt 2
[2026-03-09 04:40:31]     [mermaid.ink 400] attempt 3
[2026-03-09 04:40:35]   [(200/500)] meaningful_199 PNG 渲染失败
[2026-03-09 04:40:45]     [mermaid.ink 400] attempt 1
[2026-03-09 04:40:51]     [mermaid.ink 400] attempt 2
[2026-03-09 04:40:57]     [mermaid.ink 400] attempt 3
[2026-03-09 04:41:01]   [(200/500)] meaningful_199 PNG 渲染失败
[2026-03-09 04:41:12]     [mermaid.ink 400] attempt 1
[2026-03-09 04:41:17]     [mermaid.ink 400] attempt 2
[2026-03-09 04:41:23]     [mermaid.ink 400] attempt 3
[2026-03-09 04:41:27]   [(200/500)] meaningful_199 PNG 渲染失败
[2026-03-09 04:41:46]   [(200/500)] meaningful_199 OK (lines=29)
[2026-03-09 04:42:06]   [(201/500)] nonsense_000 OK (lines=45)
[2026-03-09 04:42:31]   [(202/500)] nonsense_001 OK (lines=24)
[2026-03-09 04:42:52]   [(203/500)] nonsense_002 OK (lines=39)
[2026-03-09 04:43:00]     [mermaid.ink 400] attempt 1
[2026-03-09 04:43:06]     [mermaid.ink 400] attempt 2
[2026-03-09 04:43:12]     [mermaid.ink 400] attempt 3
[2026-03-09 04:43:16]   [(204/500)] nonsense_003 PNG 渲染失败
[2026-03-09 04:43:38]   [(204/500)] nonsense_003 OK (lines=16)
[2026-03-09 04:43:45]     [mermaid.ink 400] attempt 1
[2026-03-09 04:43:51]     [mermaid.ink 400] attempt 2
[2026-03-09 04:43:56]     [mermaid.ink 400] attempt 3
[2026-03-09 04:44:00]   [(205/500)] nonsense_004 PNG 渲染失败
[2026-03-09 04:44:25]   [(205/500)] nonsense_004 OK (lines=14)
[2026-03-09 04:44:54]   [(206/500)] nonsense_005 OK (lines=52)
[2026-03-09 04:45:01]     [mermaid.ink 400] attempt 1
[2026-03-09 04:45:07]     [mermaid.ink 400] attempt 2
[2026-03-09 04:45:13]     [mermaid.ink 400] attempt 3
[2026-03-09 04:45:17]   [(207/500)] nonsense_006 PNG 渲染失败
[2026-03-09 04:45:38]   [(207/500)] nonsense_006 OK (lines=11)
[2026-03-09 04:46:05]   [(208/500)] nonsense_007 OK (lines=41)
[2026-03-09 04:46:12]     [mermaid.ink 400] attempt 1
[2026-03-09 04:46:18]     [mermaid.ink 400] attempt 2
[2026-03-09 04:46:23]     [mermaid.ink 400] attempt 3
[2026-03-09 04:46:27]   [(209/500)] nonsense_008 PNG 渲染失败
[2026-03-09 04:46:48]   [(209/500)] nonsense_008 OK (lines=12)
[2026-03-09 04:46:55]     [mermaid.ink 400] attempt 1
[2026-03-09 04:47:01]     [mermaid.ink 400] attempt 2
[2026-03-09 04:47:07]     [mermaid.ink 400] attempt 3
[2026-03-09 04:47:11]   [(210/500)] nonsense_009 PNG 渲染失败
[2026-03-09 04:47:30]   [(210/500)] nonsense_009 OK (lines=10)
[2026-03-09 04:47:52]   [(211/500)] nonsense_010 OK (lines=51)
[2026-03-09 04:48:16]   [(212/500)] nonsense_011 OK (lines=23)
[2026-03-09 04:48:40]   [(213/500)] nonsense_012 OK (lines=50)
[2026-03-09 04:49:05]   [(214/500)] nonsense_013 OK (lines=30)
[2026-03-09 04:49:15]     [mermaid.ink 400] attempt 1
[2026-03-09 04:49:20]     [mermaid.ink 400] attempt 2
[2026-03-09 04:49:26]     [mermaid.ink 400] attempt 3
[2026-03-09 04:49:30]   [(215/500)] nonsense_014 PNG 渲染失败
[2026-03-09 04:49:43]     [mermaid.ink 400] attempt 1
[2026-03-09 04:49:49]     [mermaid.ink 400] attempt 2
[2026-03-09 04:49:54]     [mermaid.ink 400] attempt 3
[2026-03-09 04:49:58]   [(215/500)] nonsense_014 PNG 渲染失败
[2026-03-09 04:50:27]   [(215/500)] nonsense_014 OK (lines=32)
[2026-03-09 04:50:45]   [(216/500)] nonsense_015 OK (lines=20)
[2026-03-09 04:51:04]   [(217/500)] nonsense_016 OK (lines=25)
[2026-03-09 04:51:15]     [mermaid.ink 400] attempt 1
[2026-03-09 04:51:20]     [mermaid.ink 400] attempt 2
[2026-03-09 04:51:26]     [mermaid.ink 400] attempt 3
[2026-03-09 04:51:30]   [(218/500)] nonsense_017 PNG 渲染失败
[2026-03-09 04:52:01]   [(218/500)] nonsense_017 OK (lines=63)
[2026-03-09 04:52:18]   [(219/500)] nonsense_018 OK (lines=17)
[2026-03-09 04:52:38]   [(220/500)] nonsense_019 OK (lines=47)
[2026-03-09 04:52:57]   [(221/500)] nonsense_020 OK (lines=17)
[2026-03-09 04:53:06]     [mermaid.ink 400] attempt 1
[2026-03-09 04:53:12]     [mermaid.ink 400] attempt 2
[2026-03-09 04:53:17]     [mermaid.ink 400] attempt 3
[2026-03-09 04:53:21]   [(222/500)] nonsense_021 PNG 渲染失败
[2026-03-09 04:53:49]   [(222/500)] nonsense_021 OK (lines=32)
[2026-03-09 04:54:08]   [(223/500)] nonsense_022 OK (lines=13)
[2026-03-09 04:54:32]   [(224/500)] nonsense_023 OK (lines=45)
[2026-03-09 04:54:53]   [(225/500)] nonsense_024 OK (lines=26)
[2026-03-09 04:55:10]   [(226/500)] nonsense_025 OK (lines=11)
[2026-03-09 04:55:28]   [(227/500)] nonsense_026 OK (lines=7)
[2026-03-09 04:55:51]   [(228/500)] nonsense_027 OK (lines=28)
[2026-03-09 04:56:19]   [(229/500)] nonsense_028 OK (lines=28)
[2026-03-09 04:56:27]     [mermaid.ink 400] attempt 1
[2026-03-09 04:56:33]     [mermaid.ink 400] attempt 2
[2026-03-09 04:56:38]     [mermaid.ink 400] attempt 3
[2026-03-09 04:56:42]   [(230/500)] nonsense_029 PNG 渲染失败
[2026-03-09 04:57:08]   [(230/500)] nonsense_029 OK (lines=30)
[2026-03-09 04:57:18]     [mermaid.ink 400] attempt 1
[2026-03-09 04:57:23]     [mermaid.ink 400] attempt 2
[2026-03-09 04:57:29]     [mermaid.ink 400] attempt 3
[2026-03-09 04:57:33]   [(231/500)] nonsense_030 PNG 渲染失败
[2026-03-09 04:58:04]   [(231/500)] nonsense_030 OK (lines=30)
[2026-03-09 04:58:31]   [(232/500)] nonsense_031 OK (lines=54)
[2026-03-09 04:59:01]   [(233/500)] nonsense_032 OK (lines=52)
[2026-03-09 04:59:10]     [mermaid.ink 400] attempt 1
[2026-03-09 04:59:15]     [mermaid.ink 400] attempt 2
[2026-03-09 04:59:21]     [mermaid.ink 400] attempt 3
[2026-03-09 04:59:25]   [(234/500)] nonsense_033 PNG 渲染失败
[2026-03-09 04:59:37]     [mermaid.ink 400] attempt 1
[2026-03-09 04:59:42]     [mermaid.ink 400] attempt 2
[2026-03-09 04:59:48]     [mermaid.ink 400] attempt 3
[2026-03-09 04:59:52]   [(234/500)] nonsense_033 PNG 渲染失败
[2026-03-09 05:00:18]   [(234/500)] nonsense_033 OK (lines=25)
[2026-03-09 05:00:26]     [mermaid.ink 400] attempt 1
[2026-03-09 05:00:31]     [mermaid.ink 400] attempt 2
[2026-03-09 05:00:37]     [mermaid.ink 400] attempt 3
[2026-03-09 05:00:41]   [(235/500)] nonsense_034 PNG 渲染失败
[2026-03-09 05:01:02]   [(235/500)] nonsense_034 OK (lines=12)
[2026-03-09 05:01:29]   [(236/500)] nonsense_035 OK (lines=36)
[2026-03-09 05:01:58]   [(237/500)] nonsense_036 OK (lines=47)
[2026-03-09 05:02:08]     [mermaid.ink 400] attempt 1
[2026-03-09 05:02:14]     [mermaid.ink 400] attempt 2
[2026-03-09 05:02:19]     [mermaid.ink 400] attempt 3
[2026-03-09 05:02:23]   [(238/500)] nonsense_037 PNG 渲染失败
[2026-03-09 05:02:35]     [mermaid.ink 400] attempt 1
[2026-03-09 05:02:41]     [mermaid.ink 400] attempt 2
[2026-03-09 05:02:46]     [mermaid.ink 400] attempt 3
[2026-03-09 05:02:50]   [(238/500)] nonsense_037 PNG 渲染失败
[2026-03-09 05:03:17]   [(238/500)] nonsense_037 OK (lines=31)
[2026-03-09 05:03:46]   [(239/500)] nonsense_038 OK (lines=26)
[2026-03-09 05:03:54]     [mermaid.ink 400] attempt 1
[2026-03-09 05:03:59]     [mermaid.ink 400] attempt 2
[2026-03-09 05:04:05]     [mermaid.ink 400] attempt 3
[2026-03-09 05:04:09]   [(240/500)] nonsense_039 PNG 渲染失败
[2026-03-09 05:04:32]   [(240/500)] nonsense_039 OK (lines=29)
[2026-03-09 05:04:48]   [(241/500)] nonsense_040 OK (lines=9)
[2026-03-09 05:05:09]   [(242/500)] nonsense_041 OK (lines=14)
[2026-03-09 05:05:36]   [(243/500)] nonsense_042 OK (lines=26)
[2026-03-09 05:05:44]     [mermaid.ink 400] attempt 1
[2026-03-09 05:05:50]     [mermaid.ink 400] attempt 2
[2026-03-09 05:05:56]     [mermaid.ink 400] attempt 3
